307,relate,"<Alfredo Volpi>[Composição, 2005.1035](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/51){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/51}"
124,relate,"<Alfredo Volpi>[Composição, 2005.1035](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/51){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/51};<Abraham Palatnik>[Aparelho cinecromático, 2007.21](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/70){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/70};<Alberto Teixeira>[Intensidade, 2005.1031](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/31){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/31};<Alexandre Wollner>[Sem título, 2005.1046](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/54){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/54};<Aldo Bonadei>[Sem título, 2005.984](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/6){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/6};<Dionísio del Santo>[Estrutura, 2005.1029](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/4){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/4};<Franz Weissmann>[Ponte, 2005.104](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/9){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/9};<Geraldo de Barros>[Concreto, 2005.979](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/11){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/11};<Hélio Oiticica>[Relevo espacial, 2005.1023](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/19){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/19};<Hércules Barsotti>[Branco/preto, 2007.1](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/77){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/77};<Judith Lauand>[Variação de quadrados, 2005.101](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/56){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/56};<Lygia Clark>[Bicho (máquina), 2005.47](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/86){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/86};<Lygia Clark>[Trepante, 2006.47](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/17){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/17};<Maria Helena Andrés>[Fantasia de ritmos, 2005.978](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/90){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/90};<Mario Silésio>[Estudo para mural da Faculdade de Direito de Belo Horizonte, 2005.103](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/80){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/80};<Mira Schendel (Myrrha Dagmar Dub)>[Sem título, 2006.5](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/14){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/14};<Mira Schendel (Myrrha Dagmar Dub)>[Sem título, 2005.472](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/27){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/27};<Norberto Nicola>[Trama ativa, 2005.1021](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/81){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/81};<Willys de Castro>[Pintura, 2006.46](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/67){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/67}"
161,relate,"<Alfredo Volpi>[Composição, 2005.1035](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/51){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/51};<Almir Mavignier>[Sem título, 2005.1018](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/49){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/49};<Waldemar Cordeiro>[Idéia visível, 2007.15](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/82){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/82};<Willys de Castro>[Pintura, 2006.46](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/67){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/67};<Maurício Nogueira Lima>[Objeto rítmico no. 2 (segunda versão), 2005.471](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/89){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/89};<Antônio Maluf>[Estudo para cartaz da I Bienal de São Paulo, 2005.1016](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/94){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/94};<Franz Weissmann>[Ponte, 2005.104](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/9){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/9};<Hércules Barsotti>[Branco/preto, 2007.1](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/77){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/77};<Alfredo Volpi>[Concreto, 2005.1037](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/23){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/23};<Mira Schendel (Myrrha Dagmar Dub)>[Sem título, 2006.5](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/14){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/14};<Milton Dacosta>[Em vermelho, 2006.48](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/55){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/55};<Samson Flexor>[Geométrico II, 2005.1003](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/87){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/87};<Lothar Charoux>[Abstrato geométrico, 2005.989](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/78){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/78};<Geraldo de Barros>[Concreto, 2005.979](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/11){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/11};<Ivan Serpa>[Faixas ritmadas, 2005.473](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/12){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/12}"
224,relate,"<Alfredo Volpi>[Composição, 2005.1035](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/51){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/51};<Willys de Castro>[Pintura, 2006.46](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/67){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/67};<Luís Sacilotto>[Concreção 5942, 2007.23](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/26){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/26};<Hércules Barsotti>[Branco/preto, 2007.1](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/77){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/77};<Willys de Castro>[Pintura, 2005.987](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/95){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/95};<Willys de Castro>[Objeto ativo, 2005.988](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/21){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/21}"
171,relate,"<Alfredo Volpi>[Concreto, 2005.1037](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/23){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/23}"
215,relate,"<Alfredo Volpi>[Concreto, 2005.1037](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/23){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/23}"
236,relate,"<Alfredo Volpi>[Concreto, 2005.1037](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/23){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/23}"
302,relate,"<Alfredo Volpi>[Concreto, 2005.1037](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/23){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/23}"
126,relate,"<Alfredo Volpi>[Concreto, 2005.1037](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/23){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/23};<Alfredo Volpi>[Bandeiras, 2006.51](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/91){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/91};<Alfredo Volpi>[Bandeiras verdes sobre rosa, 2005.1039](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/96){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/96}"
277,relate,"<Alfredo Volpi>[Concreto, 2005.1037](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/23){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/23};<Alfredo Volpi>[Composição, 2005.1035](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/51){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/51};<Alfredo Volpi>[Bandeiras verdes sobre rosa, 2005.1039](https://cdm17480.contentdm.oclc.org/cdm/ref/collection/leirner/id/96){https://cdm17480.contentdm.oclc.org/utils/getthumbnail/collection/leirner/id/96}"
